book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1874_ballantyne-the-pirate-city-an-algerine-tale,63,"['vandals', 'roman', 'zooloo', 'sidi', 'genoese', 'naples', 'severn', 'jew', 'christian', 'adam', 'barbarossa', 'turk', 'lucien', 'jews', 'kaid', 'mariano', 'algiers', 'castello', 'prophet', 'turks', 'prometheus', 'geronimo', 'moor', 'francisco', 'rais', 'achmet', 'sovereign', 'ziffa', 'arabs', 'christians', 'scripture', 'mohammed', 'carthage', 'oued', 'zubby', 'jacob', 'bill', 'ted', 'jacob mordecai', 'omar dey', 'djama djedid', 'don pedro', 'padre giovanni', 'rais ali', 'pointe pescade', 'atlas mountains', 'ted flaggan', 'signor bacri', 'achmet dey', 'hadji baba', 'achmet pasha', 'sidi hassan', 'lingua franca', 'lucien rimini', 'master jim', 'captain dashwood', 'francisco rimini', 'sidi omar', 'dey omar', 'frais vallon', 'sidi cadua', 'sidi hamet', 'lord exmouth']",32,"['marine', 'arabic', 'angelina', 'angela', 'barbary', 'sicilian', 'aga', 'agnes', 'juliet', 'zara', 'fatma', 'marina', 'blindi', 'lisle', 'bab', 'africa', 'hanyfa', 'sultana', 'paulina', 'zahara', 'algerine', 'agnes langley', 'mrs langley', 'paulina ruffini', 'colonel langley', 'ally babby', 'angela diego', 'aga hamet', 'bab azoun', 'blindi bobi', 'queen charlotte', 'madame langley']",8,"['kabyles', 'sicilians', 'ashweesha', 'jewesses', 'algerines', 'mohammedan', 'bagnio', 'melampus']",male

1875_ballantyne-rivers-of-ice,52,"['martigny', 'rollo', 'willum', 'lechaud', 'cupid', 'lecroix', 'fahrenheit', 'lewie', 'fred', 'count', 'cappen', 'balme', 'dru', 'grubb', 'geant', 'jacques', 'george', 'matterhorn', 'chapeau', 'baptist', 'thames', 'willie', 'antoine', 'nature', 'forbes', 'william', 'chamouni', 'aiguille', 'creator', 'mont', 'montanvert', 'doctor lawrence', 'lewis stoutley', 'willum stout', 'cappen wopper', 'mister lewis', 'mont blang', 'dr tough', 'william stout', 'dr lawrence', 'antoine grennon', 'monte rosa', 'mr lewis', 'fred leven', 'mont mallet', 'mr slingsby', 'grands mulets', 'captain wopper', 'count horetzki', 'mont blanc', 'dr george lawrence', 'baptist le croix']",28,"['glace', 'californy', 'bois', 'madame', 'verte', 'charmoz', 'gillie', 'mademoiselle', 'dook', 'susan', 'gouter', 'miss horetzki', 'miss emma', 'netta white', 'little netta', 'madame grennon', 'mrs leven', 'nova zembla', 'nita horetzki', 'mrs stoutley', 'mrs roby', 'gillie white', 'miss nita', 'susan quick', 'mademoiselle horetzki', 'miss gray', 'le croix', 'emma gray']",3,"['talefre', 'gorong', 'sargasso']",male

1875_macdonald-a-double-story,0,[],3,"['agnes', 'rosamond', 'peggy']",0,[],male

1876_adams-hair-breadth-escapes-the-adventures-of-the-three-boys-in-south-africa,44,"['andy', 'dionysius', 'elijah', 'joe', 'tom', 'ernest', 'dalili', 'cortez', 'pizarro', 'maroro', 'hottentots', 'stellenbosch', 'kobo', 'umboo', 'kaffir', 'patoto', 'frank', 'vangelt', 'gilbert', 'charles', 'cape', 'bushman', 'toboo', 'bushmen', 'babel', 'andrews', 'jennings', 'herodotus', 'george schmidt', 'frank wilmore', 'mr grey', 'white falsehood', 'van ryk', 'de walden', 'ernest warley', 'master nick', 'andy duncan', 'mr lavie', 'captain renton', 'captain wilmore', 'joe cobbes', 'master george', 'white prophet', 'captain gilby']",13,"['maomo', 'ohara', 'kama', 'gaike', 'ascension', 'ella', 'chuma', 'koodoo', 'queen laura', 'miss hordern', 'evil spirits', 'mrs staines', 'miss gregg']",12,"['leshoo', 'bechuanas', 'basutos', 'kalambo', 'hooghly', 'namaquas', 'bechuana', 'basuto', 'namaqua', 'oudtshoorn', 'hottentot', 'omatoko']",male

1877_ballantyne-the-settler-and-the-savage,83,"['purcell', 'septimus', 'roman', 'africaner', 'hottentots', 'hech', 'mahony', 'christian', 'kenneth', 'bushmen', 'snip', 'bowker', 'eno', 'hendrik', 'kei', 'stephen', 'david', 'george', 'conrad', 'james', 'jim', 'jerry', 'scotch', 'kafir', 'hans', 'bob', 'malay', 'ruyter', 'dutchman', 'booko', 'hercules', 'zulu', 'scot', 'cape', 'charlie', 'edwin', 'robert', 'tottie', 'saviour', 'mynheer', 'john', 'tarka', 'slinger', 'gaika', 'southey', 'goliath', 'macomo', 'bushman', 'dikkop', 'booby', 'lord charles somerset', 'colonel smith', 'diederik muller', 'mr pringle', 'sir benjamin', 'david jacob', 'glen lynden', 'bob skyd', 'union jack', 'abdul jemalee', 'van dyk', 'george rennie', 'charlie considine', 'master junkie', 'lord glenelg', 'kenneth mctavish', 'george dally', 'dr cotton', 'lucas van dyk', 'jerry goldboy', 'robert skyd', 'stephen orpin', 'james skyd', 'john skyd', 'lower albany', 'charles considine', 'cape dutchmen', 'conrad marais', 'christian muller', 'frank dobson', 'hans marais', 'groot willem', 'mynheer marais']",15,"['venus', 'jessie', 'gertie', 'chaka', 'bertha', 'africa', 'mrs marais', 'bertha marais', 'mrs mctavish', 'sandy black', 'mrs scholtz', 'jessie mctavish', 'jan smit', 'dutch african', 'mrs merton']",15,"['bergenaars', 'fetcani', 'slingsby', 'zuurveld', 'dragoener', 'hottentot', 'grahamstown', 'hintza', 'fingoes', 'kawfirs', 'bowkers', 'umtini', 'englishers', 'prinsolo', 'kafirs']",male

