book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1869_stretton-alone-in-london,10,"['james', 'poppet', 'raleigh', 'tony', 'beppo', 'old oliver', 'lord jesus', 'james oliver', 'mr ross', 'antony oliver']",4,"['polly', 'susan', 'dolly', 'charlotte']",1,['wrekin'],female
1908_potter-the-tale-of-samuel-whiskers-the-roly-poly-pudding,0,[],0,[],0,[],female
1909_potter-the-tale-of-the-flopsy-bunnies,0,[],1,['flopsy bunnies'],0,[],female
1872_de_la_ramee-a-dog-of-flanders,6,"['nello', 'patrasche', 'rubens', 'alois', 'baas', 'baas cogez']",1,['jehan daas'],0,[],female
1879_ewing-jackanapes-daddy-darwins-dovecot-and-other-stories,0,[],1,['winter'],1,['kyrkegrim'],female
1906_everett_green-a-heroine-of-france-the-story-of-joan-of-arc,40,"['robert', 'seigneur', 'domremy', 'orleans', 'abbot', 'rheims', 'duc', 'frenchmen', 'charles', 'jacques', 'dauphin', 'leroyer', 'abbe', 'bertrand', 'treasurer', 'chinon', 'tours', 'alencon', 'pierre', 'bishop', 'patay', 'dunois', 'archbishop', 'crusader', 'tremouille', 'sainte remy', 'les augustins', 'gentle king', 'abbe perigord', 'de laval', 'les tourelles', 'de gamache', 'de richemont', 'de boisi', 'archangel michael', 'lord talbot', 'sir guy', 'white witch', 'sir john fastolffe', 'duke humphrey']",19,"['bourges', 'jean', 'rouvray', 'sicily', 'charlotte', 'jeanne', 'margaret', 'dieu', 'blois', 'nancy', 'catherine', 'burgundy', 'lorraine', 'angelic maid', 'madame boucher', 'mid lent', 'jhesus maria', 'regent bedford', 'la hire']",9,"['pasquerel', 'archeveche', 'novelpont', 'vaucouleurs', 'polnoirs', 'classidas', 'jargeau', 'laxart', 'fierbois']",female
1880_meade-mou-sete-a-negro-hero,5,"['mou', 'hans', 'eyeo', 'joseph', 'mou setse']",2,"['nanny', 'toni']",2,"['korowah', 'yarriba']",female
1899_meade-light-o-the-morning,31,"['terence', 'fitzgerald', 'dennis', 'mike', 'terry', 'dan', 'squire', 'steward', 'cronane', 'norrie', 'andy', 'pilot', 'euston', 'jerry', 'patrick', 'mr finnigan', 'mr hartrick', 'patrick oshanaghgan', 'squire oshanaghgan', 'andy neil', 'stephanotie miller', 'george hartrick', 'castle o', 'mr murphy', 'dan murphy', 'dirty dublin', 'squire murphy', 'john finnigan', 'uncle george', 'holy moses', 'castle oshanaghgan']",34,"['linda', 'pegeen', 'margaret', 'stephie', 'mabel', 'hannah', 'ellen', 'bridget', 'banshee', 'maria', 'pat', 'agnes', 'rose', 'cushla', 'miss oshanaghgan', 'english molly', 'mother nature', 'miss flowers', 'nora o', 'molly hartrick', 'aunt vi', 'black bess', 'mabel armitage', 'miss biddy', 'aunt grace', 'miss miller', 'miss nora', 'biddy murphy', 'slieve nagorna', 'nora oshanaghgan', 'bridget murphy', 'miss goring', 'miss truefitt', 'hannah croneen']",2,"['elephants', 'stephanotie']",female
1906_burnett-racketty-packetty-house,6,"['vincent', 'augustus', 'charles edward stuart', 'lord hubert', 'lord francis', 'peter piper']",17,"['mama', 'amelia', 'cynthia', 'clotilda', 'leontine', 'charlotte', 'vere', 'lady meg', 'queen crosspatch', 'lady doris', 'aurelia matilda', 'lady gwendolen', 'queen victoria', 'victoria leopoldina', 'lady muriel', 'lady peg', 'lady patsy']",6,"['grandmamma', 'gustibus', 'kilmanskeg', 'racketty', 'racketty packetty', 'racketty packettys']",female
1892_meade-the-lady-of-the-forest-a-story-for-girls,24,"['robert', 'bob', 'jim', 'valentine', 'carlo', 'eton', 'kit', 'dick', 'canning', 'davis', 'zerubbabel', 'elijah', 'phil lovel', 'uncle rupert', 'master phil', 'philip lovel', 'james grasper', 'mr baring', 'robinson crusoe', 'master phil lovel', 'rupert lovel', 'squire lovel', 'master philip', 'mr lovel']",23,"['kitty', 'peggy', 'abby', 'clementina', 'betty', 'ruby', 'nancy', 'rachel lovel', 'nancy white', 'miss katharine', 'miss lovel', 'aunt griselda', 'aunt bella', 'poor rachel', 'katharine lovel', 'miss rachel', 'miss gabrielle', 'miss grizel', 'aunt katharine', 'griselda lovel', 'miss marmaduke', 'miss griselda', 'aunt grizel']",3,"['avonsyde', 'newbolt', 'surefoot']",female
1893_molesworth-blanche-a-story-for-girls,28,"['norman', 'rector', 'fleming', 'reginald', 'archie', 'beltons', 'george', 'lyle', 'bordeaux', 'bewley', 'fenning', 'halliday', 'gerald', 'bradshaw', 'norman milward', 'les rosiers', 'monsieur paulmier', 'sir conway', 'archie dunstan', 'sir adam nigel', 'stasy derwent', 'east moddersham', 'monsieur bergeret', 'mr dunstan', 'sir adam', 'saint x', 'major frederic', 'pinnerton green']",34,"['blanche', 'herty', 'flopper', 'mildred', 'janet', 'deborah', 'aline', 'agatha', 'adela', 'josephine', 'rosy milward', 'miss blanchie', 'miss anastasia', 'mrs bracy', 'amy lilford', 'lady harriot dunstan', 'miss derwent', 'miss stasy', 'lady marth', 'lady hebe', 'lady harriot', 'miss bracy', 'mrs oh', 'miss wandle', 'aunt grace', 'aunt harriot', 'blanche derwent', 'mrs burgess', 'mrs lilford', 'mrs finch', 'mrs harrowby', 'adela bracy', 'florry wandle', 'mrs selwyn']",7,"['blissmore', 'pinnerton', 'crossburn', 'alderwood', 'fotherley', 'enneslie', 'messrs otterson']",female
1878_molesworth-grandmother-dear-a-book-for-boys-and-girls,15,"['kadikoi', 'hunter', 'ralph', 'balaclava', 'henry', 'fusser', 'giles', 'mr turner', 'uncle carlo', 'mr walter', 'uncle jack', 'jack berkeley', 'captain montagu', 'east hornham', 'mr sawyer']",7,"['laura', 'sylvia', 'mary', 'molly', 'notre dame', 'miss berkeley', 'salle henri ii']",2,"['alderwood', 'ryeburn']",female
1889_molesworth-the-rectory-children,5,"['calton', 'randolph', 'mr fairchild', 'mr redding', 'mr vane']",8,"['eleanor', 'amy', 'rosalys', 'celestina', 'alie', 'bridget', 'biddy', 'miss millet']",4,"['seacove', 'roughie', 'seacove rectory', 'laneverel rectory']",female
1888_ewing-snap-dragons-old-father-christmas,8,"['snap', 'dick', 'vesuvius', 'dragons', 'william', 'guy fawkes', 'godfather garbel', 'master harry']",5,"['patty', 'polly', 'kitty', 'jemima', 'mrs skratdj']",0,[],female
1900_molesworth-the-house-that-grew,8,"['rough', 'denzil', 'geordie', 'rolf', 'dods', 'george', 'hoskins', 'mr trevor']",4,"['kirke', 'zenia', 'taisy', 'miss trevor']",1,['roughie'],female
1895_burnett-two-little-pilgrims-process-a-story-of-the-city-beautiful,9,"['jones', 'christian', 'chicago', 'jerry', 'bob', 'ben', 'robin', 'christopher columbus', 'john holt']",3,"['meg', 'straw parlor', 'aunt matilda']",0,[],female
1871_yonge-little-lucys-wonderful-globe,5,"['leonidas', 'don', 'papa', 'uncle joseph', 'uncle joe']",5,"['lonicera', 'nurse', 'maude', 'mother bunch', 'miss lucy']",0,[],female
1875_tucker-the-childrens-tabernacle-or-hand-work-and-heart-work,2,"['lucius', 'master harry']",6,"['elsie', 'ruth', 'agnes', 'nina', 'dora', 'ailsie']",0,[],female
